ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96
 1.370, -4.911, 1.49,  3.3968,  1.724,  0.819, 1.004,  2.335, -0.457, 15.814, 0.950, 15.70, 3.4380,  7.87, 3.950, 0.189,-3.658,  4.1174, -9.379,  8.805,  4.203, 1.0747, 2.7162,  6.01, 10.348,  7.176, 2.483,-0.85, -0.7226, 4.3e+00, 1.908,  0.975, 1.939, 7.464,  4.29,-0.0896, 5.573, 4.167,-5.110, 2.272, -5.999,-10.088, -8.0826,  0.7753,-8.7e+00,-10.79,  2.364, 3.299, 1.378, -5.506, 3.1e+00,  2.082,  1.350, -6.623, 3.032,-3.392, -4.833,-11.2426, -2.0327,-5.6803,-1.516,-4.418,  4.518,-1.058, 2.049, 3.589,-0.772, 0.599, 2.113, 1.471,-2.458,-0.936, 1.779,  4.6189,  3.289,  0.816, -0.9417, 4.313, 2.193, -0.330, -4.822, 3.955, -0.278,-3.452, 6.187,-0.407, 2.348, -6.681,-10.916,  0.025, -3.614,-13.61, -0.94, -7.1894,-3.525, 1.868
 2.849, -7.565, 5.03,  5.4512,  6.755,  4.708, 6.743,  2.642,  0.014,  2.068, 6.118, 10.39, 5.7744, -0.78, 4.929, 9.282, 9.583,  6.1375,  0.664, -0.071,  5.704, 5.6355, 5.6597, -5.19, -0.842, -1.387, 2.309, 4.43,  5.1841, 1.5e+00, 4.816,  0.051,-0.701, 2.293,  9.68,-1.1255, 3.422, 9.081, 3.057, 5.155, -5.892,-12.619, -1.6400,  5.9284,-3.2e+00,  9.52,  0.141, 0.202,-2.185, -3.530, 1.8e+00,  4.314,  2.750,  4.577, 5.904,-0.399, -6.659,  1.2933, -4.7059,-1.6018,-0.860,-0.981, -1.932, 0.991, 8.572, 3.300, 1.901, 1.982, 0.347, 2.460,-0.418,-2.021, 0.077,  0.5042,  2.006,  3.185,  3.3697,-0.804, 2.135,  1.459,  3.612,-0.319,  3.564, 0.652,-0.627,-2.212, 4.058,  1.283,  1.538,  3.122,  5.551, -7.10, -1.74,  2.0665,-0.177, 0.771
 0.927,-12.193, 4.73,  4.1052,  0.180,  1.611, 8.579,  2.606, -0.084,  1.668, 7.925,  8.91, 3.8901,  1.23, 4.542,10.016,12.805,  8.9313, -1.166, -0.216,  3.623, 4.6912, 5.7069, -6.67,  3.958,  2.744, 5.753, 4.47,  4.8465, 2.5e+00, 4.448, -2.372,-1.862, 3.013,  8.98,-4.0349, 5.607, 8.740, 3.768, 3.212, -8.213,-13.396, -7.4034,  0.0037,-7.9e+00, 11.33, -1.974,-2.712,-4.103, -4.527, 3.0e+00,  4.842,  0.700,  3.288, 8.973,-1.924, -4.912,  0.9226, -4.2725,-2.3044,-2.047,-1.041, -1.074,-0.415,13.011, 6.084, 3.385, 2.614, 1.119, 1.557,-1.133,-4.773, 0.873,  4.6745,  5.548,  4.041,  2.5237,-0.604, 1.987, -4.638, -0.837,-0.402,  3.943,-3.763, 0.676,-1.705, 5.001, -2.453, -1.859,  2.858,  7.697,-10.00, -8.34,  2.2456,-4.239,-3.099
-2.661, -4.837,-1.45, -0.8442, -6.255,  1.021, 3.520,  3.086,  2.992,  0.984, 6.527,  8.56, 3.5274, -2.11, 4.987, 8.566, 5.952,  6.6106, -4.555,  1.894,  0.597, 1.8827, 4.7857, -1.88, -0.781,  1.230, 9.224,-0.59,  2.9214, 6.6e-01, 2.496, -1.553,-0.735, 2.895,  6.21,-0.3626, 5.633, 9.090, 4.583, 2.374, -2.319, -3.611,  0.5771,  4.8011,-4.6e-04,  6.63,  2.873,-3.066,-4.901,  0.078,-1.2e-01,  0.706, -3.567,  1.477, 4.948,-2.912, -1.550,  0.6714,  0.0151,-3.4229,-1.995,-1.846,  1.004,-0.425, 7.071, 4.310, 3.069, 1.975,-0.073, 0.300,-0.309,-0.984,-0.851,  3.2946,  7.008,  0.540,  1.6222,-0.819, 1.253, -1.869, -7.595,-0.151, -1.496,-1.565, 0.617,-1.639, 5.884, -1.134,  3.456,  6.315,  8.338, -0.92,  2.57, -0.8077,-3.182,-1.306
-4.533, -4.006,-4.50, -2.5569, -7.218,  1.557,-0.589,  1.020,  3.401,  1.042, 2.564,  6.58, 3.6034, -6.96, 5.118, 6.939,-0.473,  3.4062, -4.221,  4.288,  0.153,-0.0059, 3.7249,  1.70, -6.692, -1.269, 9.405,-3.61,  2.4638, 3.2e-01, 1.726, -0.413,-1.286, 1.014,  2.10, 2.9166, 3.140, 7.868, 3.793, 1.055, -0.040,  0.895,  6.6251,  1.3963, 2.4e+00,  1.55,  6.200,-2.846,-4.444,  0.050,-1.4e+00, -1.054, -4.550,  2.338, 0.915,-5.022, -0.421,  0.2191,  1.5271,-3.6365,-1.161,-3.165,  2.130, 0.562, 0.602, 1.132, 2.114, 1.681,-0.027, 0.257, 0.093, 2.006,-1.938,  0.6666,  7.849, -2.043,  1.2290, 0.157, 1.538,  3.387,-11.978,-1.375, -8.025, 0.468, 0.673,-1.670, 4.243, -0.873,  6.420,  6.597,  6.779, -3.44,  6.96, -2.2845,-0.849, 0.774
-2.130,-17.543,-0.49,  0.5291, -2.123,  1.175, 0.062, -1.962,  0.414,  5.049, 1.258,  2.38, 4.2593, -6.53, 3.379, 6.312,-1.772,  1.3920,  0.174,  4.055,  4.410, 1.6213, 3.7770,  0.92, -4.719, -1.431, 4.733,-1.34,  3.6289, 3.3e+00, 3.457, -0.149,-1.836,-2.629,  0.82, 1.6763, 1.033, 4.295, 2.660, 1.127, -6.460, -7.176,  2.3353,-16.1016,-1.3e+01, -2.25,  3.225,-1.810,-1.761, -9.992, 1.8e+00,  2.387, -2.482,  4.526,-0.443,-5.817, -2.515, -0.1665, -1.4971,-0.7469, 1.751,-3.338,  1.003, 1.753,-1.329,-0.482, 0.147, 1.904, 2.982, 2.668, 0.977, 0.656, 0.286, -0.6817,  7.635, -0.365,  1.8189, 3.692, 4.418,  5.285, -8.440,-1.687, -9.160, 0.630, 0.736,-0.747,-0.718, -0.801,  0.387, -1.997,  0.011,-24.92, -9.35,  0.0345, 0.300, 1.117
-0.476,-22.468, 1.55,  1.0895, -0.915, -1.337,-0.532, -1.825, -1.715,  6.324, 0.983, -1.40, 3.6916, -4.72, 1.374, 6.169,-4.427, -1.5154,  0.599,  1.364,  6.324, 1.4017, 2.8836, -2.01,  0.062, -1.857, 0.894, 0.46,  3.8324, 3.1e+00, 2.059, -2.999,-0.695,-4.786,  1.07,-0.7749, 0.086, 0.240, 2.208, 3.107, -9.322,-11.831, -2.5607,-19.8876,-2.2e+01, -8.19, -2.407,-2.061,-0.898,-12.455, 2.7e+00,  3.184, -9.401,  2.186,-3.164,-5.031, -5.163, -0.3349, -5.3820, 0.7636, 3.732,-2.736, -0.152, 3.129,-3.478,-1.963,-3.645, 0.791, 3.695, 2.859, 1.786,-1.889, 2.008, -2.5014,  5.552,  0.284,  1.6715, 4.157, 4.611,  1.802, -3.983,-0.368, -5.146, 1.148,-0.726,-1.182,-4.276,  0.181, -5.088, -7.126, -5.394,-28.56,-16.21, -0.6016,-1.811,-0.148
-1.764,-11.692,-0.28, -1.4468, -4.529, -3.775,-2.038, -0.865, -3.419,  0.205,-4.202, -5.88,-0.8900, -5.12,-0.202, 4.659,-7.271, -3.8811, -2.824,  0.306,  1.969,-3.6654,-0.7189, -4.30,  1.613, -1.439,-0.302, 1.15,  3.6037,-1.3e+00,-3.874, -9.028, 0.201,-4.088, -2.90,-1.6459,-0.952,-4.872,-1.198, 3.176, -2.478, -5.581, -5.8077, -9.8263,-1.5e+01,-12.04, -5.942,-4.979,-3.205, -2.164, 8.0e-01, -0.464,-20.779, -3.267,-4.809,-5.210, -7.697,  0.2878, -9.8532,-2.4055, 1.240,-2.061, -0.265, 3.069,-4.256,-2.790,-6.074,-0.768, 0.359,-1.649, 0.353,-3.414, 1.133, -1.6368,  1.486, -0.915,  0.7463,-0.149,-0.658, -6.277, -4.890,-1.097, -0.469, 1.709,-2.482,-4.086,-3.606, -2.055, -6.431, -1.382, -2.024,-11.60, -5.12, -5.8372,-5.638,-3.587
-1.370, -2.131,-0.45, -2.2866, -5.818, -4.028,-0.988, -0.931, -3.958, -3.665,-9.507, -7.93,-4.8847, -3.73,-1.936, 0.622,-5.744, -3.3282, -1.338,  2.635, -2.098,-7.0144,-3.7484, -2.80,  3.175,  1.600,-1.344, 2.94,  3.9133,-2.7e+00,-6.791,-11.627, 1.287,-2.976, -6.92,-1.2191,-1.407,-7.722,-5.821, 0.101,  2.815,  1.665, -8.1115, -5.3824,-9.8e+00, -9.07, -5.508,-6.280,-3.147,  4.596, 4.6e-01, -2.325,-18.574, -4.921,-3.183,-4.802, -8.630,  0.7320,-11.6586,-4.4828,-1.786,-1.287,  0.038, 1.005,-1.723,-1.780,-3.818,-0.453,-1.741,-5.242,-2.125,-2.484, 0.848,  1.5116, -1.211, -0.273,  1.1443,-2.674,-4.207,-10.761, -5.156,-2.742,  1.656, 0.543,-2.800,-4.615,-1.052, -6.918, -5.194,  4.424,  3.943, -4.49,  0.51, -7.7101,-5.909,-5.812
 2.352,  1.996, 0.86, -0.8992, -4.569, -3.106, 0.343,  1.295, -1.404, -0.974,-7.816, -4.97,-3.9543,  0.22,-2.273,-3.263,-3.177, -0.9058,  6.014,  6.680, -1.645,-5.2383,-2.8104,  1.79,  8.859,  3.711,-2.161, 4.90,  4.3264,-8.2e-05,-3.740, -9.041, 0.979,-0.911, -4.20,-0.6054,-1.416,-5.013,-7.396,-3.615,  1.850,  5.970, -5.7338, -0.4999,-6.6e+00, -2.95, -3.379,-4.566, 1.151,  5.015, 1.4e+00, -0.530, -5.400, -2.284,-1.024,-2.497, -6.921, -0.8544, -6.7055,-3.0321,-1.528,-0.990,  1.141,-0.712, 0.619, 0.244, 2.114, 1.619,-0.645,-5.092,-3.221, 0.410, 1.569,  2.0523, -0.930,  2.683,  3.3560,-0.739,-2.234, -8.400, -4.041,-1.955,  0.666,-1.972,-2.430,-1.463, 1.068,-10.072,  0.837,  4.785,  5.104, -5.01,  2.67, -3.0824,-3.265,-4.389
