ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96
 -1.2039,-6.438,-2.485,-3.99361,-1.94,-3.95213,-2.891, 4.699, 1.103,-0.918, 5.0e+00, 1.388, -0.8183, 0.785,-0.3241,  1.5994,-2.9598,-3.919,-1.319,-1.319, 1.0207,-2.689, -1.705, -8.691,  0.186,-6.952,-0.8342,-3.692, 0.264,  0.342,  0.3408, -7.375,-0.270, 3.224, 3.1202, -2.631,-0.074, 2.011, 0.59, -2.587,-3.902,-0.146,-0.539, 0.270, -0.550, -7.0125,-13.02, -3.609,-2.70516,-5.349,-1.783,-5.290,-6.6139,-6.4494,-5.3702, 3.119,-3.789,-2.8073,-1.3104, 2.191,-1.556,-2.424, 3.004, 0.7032,-4.452,-2.925,-2.685, -0.059,-0.1153, -2.958,-0.109,-12.5487,-1.1894,-4.478,-0.62540,-2.9706,-1.913, 1.097, -1.67, -5.602,-0.676, 3.7574,  4.007, -4.009, 2.748, 0.0433, 0.766, -2.142,-11.034,-7.8e+00,-2.256, -9.603, -4.968, -1.5560,-13.55, -2.855
 -2.1751,-1.871,-2.988,-6.19746,-2.59,-5.31977,-3.273, 2.245, 3.726,-2.797, 1.3e+00,-4.779, -8.0515, 0.597,-1.8601, -4.4296,-2.7349,-4.831,-5.480,-4.801,-3.9174,-4.726, -3.540, -2.413,  7.053,-4.607, 0.6646,-0.589,-1.580,  0.596, -2.0423, -4.655, 1.309,-1.666,-1.9402, -4.576,-1.373,-1.447,-7.29, -5.116,-3.558,-2.791,-3.085, 0.386, -2.643, -7.3113, -3.84, -3.742,-1.69953,-2.034,-1.291,-5.395,-6.0590,-6.4428,-4.0876, 1.173,-1.746,-0.3468, 0.6855,-1.270,-2.073,-1.986,-1.654,-2.7752,-2.649,-2.246,-4.845, -4.962,-2.6789, -3.882,-1.548, -2.0376, 2.6465,-3.421,-1.72673, 0.1682,-1.212,-2.813, -2.82, -4.131,-0.964, 1.8472, -1.363, -3.568, 0.034,-2.0343,-2.131, -1.108, -7.278,-3.8e+00,-2.051,  3.741, -2.195,  0.3262, -3.21, -3.832
 -2.5839,-3.757,-3.086,-6.65545,-2.43,-6.75230,-4.215, 2.011, 3.226,-3.312, 1.5e+00,-6.155, -9.5968, 1.622,-1.9258, -5.3107,-3.2837,-6.327,-6.665,-5.500,-4.1146,-5.890, -5.784, -2.894,  8.995,-4.875, 1.2250,-0.429,-2.019,  0.246, -2.3850, -6.625, 1.401,-1.329,-4.5167, -5.060,-1.997,-1.927,-9.30, -6.257,-3.941,-3.552,-3.536,-2.094, -3.332,-10.0565, -5.97, -6.027,-2.15789,-3.453,-0.830,-6.565,-7.9994,-7.8466,-5.5123, 0.509,-2.636,-0.7719, 1.8539,-0.470,-3.070,-2.614,-1.878,-4.1223,-3.165,-2.533,-6.432, -7.520,-3.0366, -5.159,-3.390, -3.0232, 3.0131,-3.375, 0.00066,-0.0015,-2.387,-3.383, -2.56, -6.627,-1.865,-0.4912, -5.930, -4.491,-1.160,-2.3900,-4.858, -3.215, -9.111,-5.9e+00,-2.679, -1.507, -1.602, -1.2869, -4.30, -6.687
 -3.0031, 0.084,-2.841,-3.86579,-1.58,-2.56390,-3.045, 3.677, 2.340,-3.035, 5.2e-01,-5.364, -6.1704, 1.808,-0.2235, -3.1576,-1.8649,-3.685,-4.927,-3.251,-1.2710,-3.223, -5.198,  0.229, 10.901,-3.277, 3.2654, 1.617,-1.361,  0.745,  0.2061, -2.223, 3.307, 0.568,-2.3790, -2.203, 0.107,-0.389,-4.37, -4.280,-1.299,-1.500,-1.323,-5.459, -2.244, -2.2823, -1.42, -3.936,-1.89957,-2.791,-0.999,-3.766,-4.3096,-4.8479,-3.4035, 2.124,-1.258, 0.3049, 2.9033,-0.166,-3.024,-1.084,-1.891,-4.1397,-2.423,-2.082,-4.669, -5.135,-2.1155, -2.963,-3.674, -0.1843, 5.6888,-2.726, 4.77355, 1.0167,-0.928,-1.271, -0.12, -2.153, 0.211,-0.2286, -3.151, -1.750,-1.619,-1.0846,-5.090, -3.997, -4.076,-2.4e+00,-0.811, -6.343,  3.520, -2.8760, -0.87, -4.152
 -2.0206, 2.594,-1.236, 1.15058,-0.61, 1.16602,-1.332, 4.230, 0.618,-2.316,-7.0e-02,-2.678, -4.0705, 1.466, 2.0084,  0.3008,-0.3110,-0.427,-2.827,-1.073, 1.2024, 0.425, -2.917,  2.869, 10.483,-1.251, 3.5419, 3.409,-1.590,  1.854,  3.5622,  3.203, 4.102, 3.042, 0.4780,  0.993, 2.444, 1.320, 1.55, -0.376,-0.728,-1.585,-1.424,-5.374, -0.658,  4.3942,  3.87, -0.452,-0.54694,-1.706, 0.202, 0.904,-1.1670,-1.0113,-0.6016, 2.464,-0.131, 0.7788, 2.8359,-0.241,-2.018,-0.011,-1.376,-2.8582,-1.017,-0.635,-2.495, -2.260,-0.6273,  0.699,-2.548,  2.9794, 6.2792,-1.589, 5.11944, 2.0101, 0.087, 1.040,  2.47,  3.803, 0.921, 1.3098,  2.223,  0.724,-1.381, 0.1029,-3.927, -2.502,  1.078, 1.1e+00, 0.590, -6.048,  5.443, -3.0489,  3.09, -0.391
  0.0755,-2.200, 0.766, 4.85454,-0.25, 1.11342,-0.508, 1.841,-0.966,-0.994, 2.4e-01, 0.019, -5.2728, 0.492, 1.9483,  1.6738,-0.0346,-0.260,-1.991,-0.276, 1.1584, 2.085, -1.224,  3.176,  8.286,-0.378, 0.3082, 2.570,-1.790,  2.790,  4.9315,  4.666, 0.745, 3.134, 1.8573,  2.338, 1.312, 1.225, 3.62,  3.201,-2.771,-4.016,-4.419,-2.494,  0.751, -0.1828,  4.38,  0.825, 1.44760,-1.784, 2.668, 4.985,-1.7642, 2.2368, 0.9332, 1.081,-0.187,-1.2058, 0.6461,-0.258,-0.113,-1.422,-0.552,-0.7400, 0.620, 1.133,-0.244, -1.579, 0.0740,  3.079,-1.499,  4.8545, 4.0509, 0.182,-1.31822, 2.6290, 0.524, 2.636,  3.60,  6.123,-1.109, 2.1197,  5.945,  1.647,-0.647,-0.2465,-1.892,  0.382,  0.858,-5.6e-01,-0.729, -3.367, -2.623, -2.7618,  4.43,  0.387
  1.4441,-5.801, 1.769, 6.28679, 0.57, 1.50354,-0.091,-0.475,-1.527, 0.262, 1.1e-01, 1.395, -4.8772, 0.156, 0.1921,  2.1542,-0.6814,-1.797,-1.237, 0.498, 0.9114, 2.113, -1.012,  3.190,  6.436, 0.479,-1.9679, 0.546,-1.592,  2.768,  3.8400,  3.466,-2.395, 1.394, 1.4861,  2.647,-1.056, 0.223, 3.23,  4.809,-3.993,-3.922,-4.519,-2.143,  2.220, -5.2264,  2.96,  1.193, 1.70683,-1.727, 3.521, 5.867,-1.2957, 4.5129, 1.7557,-0.319,-0.758,-2.8303,-2.3339,-0.599, 0.359,-2.851,-1.238, 0.4941, 1.479, 2.126, 1.873, -1.171, 0.4613,  3.594,-1.382,  5.9958, 2.1165, 2.065,-5.14006, 2.0733, 0.817, 3.114,  3.63,  5.411,-2.547, 0.3110,  4.041,  2.306,-1.892,-0.8726, 0.204,  1.633,  0.573,-1.2e+00,-0.529, -4.264, -8.705, -2.2158,  3.71,  0.714
  2.2520,-2.155, 1.883, 7.10953, 1.09, 4.79506, 0.763,-0.222,-0.633, 0.574,-1.2e+00, 1.100, -2.5587, 0.807,-0.2970,  3.4581,-0.8561,-1.222,-1.016, 1.357, 1.4313, 0.800, -3.411,  2.380,  3.763, 2.725,-0.1312,-1.528,-3.566,  0.706,  1.0016, -0.227,-0.750,-0.153, 0.1082,  1.564,-1.120,-1.050, 1.31,  4.329,-3.025, 0.528, 0.553,-5.124,  0.516, -4.9843,  1.86, -0.387, 0.59589,-0.590, 2.286, 4.147, 1.9155, 4.8393, 2.2476,-0.453,-1.585,-2.8843,-4.8842,-0.616,-2.303,-2.082,-2.450, 1.2054, 1.088, 2.113, 3.279, -0.346, 0.3663,  2.160,-2.901,  5.2929, 0.8820, 3.386,-1.04356, 0.4577,-0.501, 1.510,  1.67,  1.646,-1.458,-2.2609, -2.360,  1.599,-5.407,-1.1831, 0.494, -0.458,  3.513, 3.4e+00, 2.407, -5.992, -6.199, -1.2341,  1.29, -0.297
  1.5861, 0.949, 1.341, 6.26103, 0.15, 6.46109, 1.231,-0.037,-0.635, 0.023,-2.4e+00,-0.357, -1.2035, 0.603, 0.0462,  4.3806, 0.0383, 0.484,-0.987, 1.484, 1.1299,-0.525, -5.372,  0.021,  1.348, 3.301, 1.3024,-2.529,-5.063, -1.644, -1.2907, -4.514, 1.112,-1.135,-1.0717, -0.895,-0.063,-1.467,-0.52,  2.146,-1.210, 4.456, 3.228,-6.667, -2.729, -3.8304,  0.65, -2.636,-0.35246, 0.390, 0.601, 2.760, 2.9331, 3.6000, 2.0001,-1.009,-2.918,-2.8302,-6.4869,-0.518,-5.182,-1.366,-2.262, 1.1769, 0.514, 1.265, 2.821, -0.339,-1.0033,  0.360,-4.895,  1.7124,-0.0147, 3.056, 2.40306,-0.3716,-1.728,-0.770, -1.30, -2.581,-0.551,-2.6742, -6.380, -0.601,-5.791,-1.6323,-0.670, -3.221,  4.535, 5.7e+00, 2.176, -6.039, -2.602, -0.8564, -1.97, -2.385
 -0.6916,-0.358, 0.835, 3.58590, 0.08, 5.19890, 1.079,-1.009,-2.123,-0.622,-2.5e+00,-1.476,  0.9239,-0.683,-0.4747,  4.7833, 1.6703, 1.062, 1.020, 1.247,-0.2003, 0.504, -2.440,  0.112,  1.521, 1.094, 0.6310,-0.855,-1.339, -1.427, -1.2507, -4.234, 0.257,-0.861, 0.1934, -1.678, 0.034, 0.240,-0.17, -0.405, 0.174, 3.967,-1.566,-3.055, -4.107, -1.9609,  2.59,  0.023,-1.31461, 1.890,-1.006, 2.350, 1.3919, 2.6115, 1.7496,-1.620,-3.705,-2.1092,-6.1439,-1.348,-4.451,-1.669,-1.269, 0.1020, 0.890, 0.419, 0.619, -0.104,-2.2653,  0.879,-4.422, -1.0710,-0.4510, 1.256, 2.50862, 0.4816, 0.183,-1.849, -2.16, -1.671, 0.034,-0.4147, -3.652, -0.901,-1.396,-1.6565,-0.903, -3.500,  2.911, 2.2e+00,-2.926, -1.962,  1.173, -0.3295, -0.88, -0.213
