ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96
-6.362,-3.157,-3.509, 0.013,-0.29,  6.441, 3.431, 0.757, 0.975, -5.337,  5.40, 0.996,-0.120,-2.320, 1.484,  1.632, 2.5e+00,  6.3370, 5.4186,  4.965, -3.69,  3.4805,  3.915, 12.85,-0.7381,  3.460,-0.4756,-2.848,-0.331,-10.53, -6.17, 11.584, 11.248,-3.305,  5.888,  5.481,-5.6999,-0.7883, 3.185,  1.82,  4.41, -0.479, -3.395, -5.236,-6.5e+00, -5.849, 11.20, 5.826,-5.06882, 1.0731,-4.351,-5.248, -6.14, -1.88,  4.161, 0.84,  1.547, -1.112,-2.090,-7.2584, 0.513,-0.190, 1.23,  2.305,  0.626,  7.834,  8.831,  4.767,-4.7274,  6.7953,  2.009, 12.284,-1.526,  1.3546,-0.4171, -5.032, 0.603, -8.011, -6.152,  6.216,-2.2639,-3.6558, -3.6995,  2.037,-1.41, 2.424,  2.3133,  1.732, 7.831, 7.252, 6.163, -0.779, -2.025, -5.454, 10.698, 5.803
 0.311, 1.364, 1.115, 1.489, 2.70,  5.790,-0.941, 1.484, 1.131,  2.635,  4.57, 2.274, 4.203, 2.162,-1.487, -1.003,-1.6e+00, -0.3857,-1.0836,  1.520,  6.57,  1.5124,  0.249, -2.89,-1.0601,  1.551,-2.3909, 0.821, 1.999,  2.00,  1.63, -0.647,  4.681,-2.373, -1.019, -1.234, 1.4006,-1.2586,-1.125, -1.68,  6.13,  1.364,  1.628,  2.748, 2.4e+00,  1.347, -1.18,-0.332, 0.05623,-0.0452,-0.105,-0.026, -1.38, -4.49, -1.172, 1.33,  3.166, -1.922, 1.181,-1.7206,-0.964,-2.470,-2.49, -0.462, -1.776, -2.507,  1.505, -1.007, 0.7169,  0.0987,  0.693,  1.023,-0.618, -1.1198,-0.6607,  1.505, 2.365,  1.668,  2.148, -0.385, 2.6253, 1.9755,  2.9091,  2.137,-1.22,-0.314, -0.2921,  3.103, 0.305, 1.390,-0.316,  4.397,  1.924, -5.147, -0.920,-1.386
-0.531,-0.728, 0.443, 0.494, 2.56,  6.627,-2.637, 1.321, 0.879,  1.698,  5.34, 2.058, 3.072, 2.640,-1.429, -1.104,-3.9e+00, -2.3800,-2.6233,  1.253,  5.74, -1.4672, -2.013, -7.32, 0.1802,  0.067,-1.0147,-0.107, 0.307, -0.81, -1.45, -3.780,  4.424,-2.797,  0.278, -5.615, 4.6073,-1.2712,-1.665, -4.50,  7.00, -0.658, -1.603, -0.600,-1.0e+00, -0.860, -5.64,-2.002,-1.40812,-0.6201,-2.949,-2.943, -1.37, -5.53, -3.561, 2.79,  2.811, -0.243, 0.858,-1.5617,-0.757,-3.057,-3.28, -0.399, -4.254, -4.591,  0.315, -3.157,-1.5025, -3.5115, -2.459, -4.173,-0.716, -1.8801,-0.1034, -0.149, 0.286, -3.082, -1.036, -3.584, 2.4874, 3.4746,  3.8440, -3.887,-2.42,-0.233, -0.8957,  0.915,-0.267, 0.218,-2.253,  2.647,  0.081, -7.443, -8.155,-4.860
-1.557,-3.092,-1.626,-1.371, 1.30,  0.856,-2.978, 0.617,-1.497,  0.441,  3.18, 1.853, 2.657, 0.674,-1.517, -3.857,-5.5e+00, -4.3023,-3.1582, -1.021,  2.62, -4.3356, -3.130,-11.17,-0.3238, -2.955, 0.2186,-2.027,-2.955, -5.83, -5.56, -5.607,  1.584,-4.073, -3.119, -8.661, 2.9592,-1.3207,-3.786, -3.88,  2.34, -2.641, -5.459, -0.344,-4.8e+00, -2.100,-10.00,-3.139,-2.02712,-1.7752,-4.498,-4.560, -4.18, -7.21, -5.063, 2.19,  2.941,  0.346, 0.367,-2.6311,-2.207,-1.429,-2.30, -3.394, -5.932, -5.577, -2.549, -5.555,-2.0406, -4.5737, -4.596, -8.906,-1.252, -5.3018, 0.9241, -3.831,-3.521, -5.981, -2.226, -2.420, 0.7378, 1.1308, -0.5850, -6.923,-0.75,-0.863, -2.8020, -0.610,-2.236,-2.014,-4.346, -2.305, -5.094, -8.858,-10.293,-5.298
-1.723,-3.429,-2.069,-2.021, 1.07, -4.024,-2.611, 0.675,-2.666, -1.098,  1.47, 1.275, 1.208,-0.179,-1.727, -5.003,-5.9e+00, -5.1023,-3.4651, -2.559, -0.27, -5.5183, -3.021,-13.16,-0.4246, -5.103, 0.1691,-3.075,-5.390, -8.69, -7.42, -5.846, -0.274,-4.168, -5.956,-10.172, 0.1976,-0.8373,-3.913, -3.03, -1.59, -4.199, -7.102,  0.864,-5.7e+00, -1.779,-11.57,-3.873,-1.82330,-2.7865,-4.128,-4.117, -5.70, -7.42, -4.990, 0.53,  3.006,  0.343, 0.303,-3.4571,-3.229,-0.834,-1.39, -4.741, -6.446, -5.870, -5.027, -6.905,-1.9505, -4.1215, -4.825,-11.943,-1.632, -6.9215, 1.5129, -5.337,-6.080, -6.815, -2.466, -1.625,-0.2427,-1.2911, -5.3238, -8.323, 0.37,-0.988, -3.3831, -1.453,-2.224,-3.231,-5.329, -5.527, -8.319, -7.660,-10.849,-3.851
 0.408, 0.086, 0.282, 0.376, 3.89, -0.979,-0.425, 3.060,-1.074,  0.814,  4.57, 3.189, 0.052, 2.238,-0.170,  0.173,-3.3e+00, -3.3532,-1.5095,  0.124,  0.17, -2.6578, -0.095, -9.03, 1.0594, -2.936, 0.7843,-1.434,-5.568, -6.26, -3.54, -0.699,  2.358,-0.897, -1.377, -7.038, 0.0037, 1.7884, 0.016, -3.03,  0.98, -3.901, -5.432,  5.924, 1.6e-01,  1.765, -4.95,-2.235, 0.03320,-1.7211,-1.853,-1.609, -3.11, -4.56, -2.123, 1.45,  2.884,  0.751, 0.647,-2.0193,-1.692,-0.350,-1.86, -1.288, -4.249, -4.287, -4.067, -4.658,-1.7481, -1.4051, -1.704, -9.002, 0.039, -4.4934, 2.5209, -2.718,-5.670, -4.685, -0.836,  2.015, 3.1847,-0.4376, -4.5990, -5.664, 0.12, 0.687, -0.9587, -0.957, 1.070,-1.098,-3.601, -1.136, -3.708, -1.920, -5.987,-0.082
 2.462, 3.088, 1.886, 2.713, 4.98,  3.137, 1.410, 3.909,-0.170,  2.892,  7.35, 4.923,-0.186, 3.983, 1.484,  4.261,-5.7e-01, -0.9897, 1.2028,  3.728,  1.28,  1.2492,  2.660, -2.51, 2.2845, -0.347, 1.8893, 0.390,-3.764, -2.46,  1.21,  5.441,  4.230, 1.672,  2.912, -1.612, 0.4967, 3.5193, 2.508, -1.55,  3.50, -2.067, -3.227,  7.433, 5.2e+00,  3.825,  2.71, 0.114, 2.33323,-0.2902, 0.293, 0.785,  0.35, -0.94,  0.525, 2.32,  2.777,  0.781, 0.817, 0.0086, 0.238, 0.508,-1.33,  1.547, -1.531, -1.284, -1.383, -1.258,-0.3464,  1.9172,  0.680, -3.240, 1.847, -1.9547, 3.1630, -0.055,-3.741, -2.350,  1.945,  6.556, 4.9985, 0.4442, -1.2116, -1.321,-0.36, 2.189,  1.1028,  0.124, 2.462, 1.236,-1.532,  1.455,  1.427,  1.487,  0.653, 2.420
 2.602, 2.496, 1.239, 2.473,-0.26,  2.818, 0.544, 2.005,-0.876,  1.433,  5.13, 3.503,-1.883, 3.530, 2.048,  1.521,-2.9e-01, -0.7005, 1.2599,  3.113, -0.81,  2.8786,  2.002,  0.33, 2.2153, -0.790, 0.5959,-0.278,-1.419, -0.70,  1.50,  3.868,  1.759, 2.260, -0.306,  1.140, 0.9147, 2.4330, 1.291,  1.39,  0.28, -0.022, -1.734, -0.551, 3.5e+00, -0.889,  2.41, 0.630, 3.58774,-0.8173, 1.131, 1.671,  1.24, -0.67,  0.589, 0.79,  3.329, -0.885, 1.112,-0.4325, 0.235,-0.105, 1.16,  0.240, -1.178,  0.823, -1.375, -1.346, 0.9605,  2.8828, -1.419, -0.656, 1.317, -1.2024, 1.2096,  0.332,-2.231, -2.560,  2.765,  3.021, 0.6298, 1.2946,  1.8843,  0.161,-2.11, 1.993,  1.4891,  0.732,-1.085, 1.093,-0.792, -2.391,  1.451, -4.062,  0.201, 1.745
 1.961, 2.325, 0.660, 1.631,-3.82,  2.770, 0.988, 1.341, 0.334,  0.956,  2.58, 1.974,-2.512, 3.334, 2.944, -0.293, 1.6e+00,  0.8897, 1.8887,  0.946, -2.95,  3.2376,  1.421,  2.61, 2.1142,  0.133,-0.1136,-0.715, 0.710,  1.05,  0.84,  0.042,  3.155, 2.864, -0.389,  2.976, 1.1060, 1.4116, 1.509,  2.97,  0.66,  4.273,  1.116, -1.785, 3.1e+00, -4.656,  0.89, 1.151, 3.80480,-0.2529, 1.767, 2.355,  1.96,  0.11,  1.781, 0.81,  4.950, -1.652, 1.589,-0.1873, 0.759,-0.932, 3.06, -0.185,  0.066,  3.526, -0.982, -0.949, 1.6569,  2.7397, -2.106,  2.201, 0.431,  1.6972, 1.2347,  1.550, 0.314, -1.073,  2.667, -2.231,-1.0349, 2.6400,  3.6617,  1.255,-3.74, 1.624,  1.8288,  1.149,-0.869, 2.237, 2.554, -0.475,  3.774, -4.427, -0.769, 1.940
 0.715, 3.944, 1.237, 1.636,-0.14,  5.697, 5.626, 1.202, 4.880,  3.398,  1.35, 0.480,-0.491, 3.319, 4.626,  2.751, 8.1e+00,  7.5889, 6.9707,  0.667, -2.72,  3.5687,  3.175,  6.70, 1.2049,  5.621, 2.3720, 1.849, 5.310,  4.80,  3.03,  0.861,  7.386, 2.453,  5.147,  5.848,-0.2234, 0.9426, 3.348,  2.55,  8.17,  9.988,  5.691,  4.363, 6.2e+00, -2.269,  3.35, 4.647, 3.31406, 3.1269, 3.322, 4.933,  7.01, 10.72,  6.380, 1.19,  3.773, -0.980, 0.756, 4.0687, 3.260,-0.180, 3.91,  3.137,  6.144,  9.468,  3.938,  5.705, 3.8940,  4.2906,  2.768,  6.988, 0.533,  8.5408, 4.3057,  6.096, 6.937,  5.830,  4.241, -2.083, 2.1462, 0.9211,  1.8033,  3.452,-1.92, 1.643,  0.8106,  0.492, 5.818, 5.493, 8.594,  7.408,  8.824,  7.522,  4.231, 5.079
