ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96
 1.0382, -3.345, 2.126, 0.629, -1.437,  1.3738, 2.2426,-6.617, -6.384,-4.839, 1.5110, 1.0201,-0.064,-3.2362,-4.579, -2.540, 1.010, 3.3829, 3.619,-0.637,-0.3608,  0.474, 1.043, 0.6875, 2.825, 0.14241,-2.331, 5.1698, 2.6473, -1.218, -2.765, -1.695,-6.994, -6.743,-7.843, 3.254,-8.097,-8.3821, 0.923, 2.593, -4.091, 4.298, 4.413,  1.02, 2.7158,  2.8552, -2.082, 1.520,-0.7961,  4.542,-0.9867, 1.555, -3.481, 2.842, 1.9990,-10.120,-7.210, 1.868,-7.6496, -3.485,-1.937,-2.396,-0.529, 1.385, 2.5526,-0.738, 2.9564,-1.414, 1.0811,-1.636, 0.3092, 2.840, 1.628,-1.347,-1.408,-7.216,-3.300, -1.422, 2.91274, -1.719, 0.922,-2.130, -5.607, 2.368,0,-4.783,-0.8376, -3.89, 9.1792, 9.4850, 4.649,-14.8249, -1.9742,  2.348,  5.107,-0.581
 1.7971, -0.319,-0.149, 3.174, -0.362, -0.5943, 1.6351, 3.538, -5.235,-5.300,10.0069, 1.7707, 1.566, 3.3821, 3.592,  4.148, 0.510, 0.5747, 2.107,-1.625, 0.7722,  1.326, 3.433, 2.4323, 7.847, 1.51161, 0.895, 5.5660, 5.0244,  5.209,  4.177, -1.211, 0.315,  7.273, 1.870, 1.762, 5.717, 4.0596, 1.080,-0.039,  1.968,-1.492,-3.041,  2.64, 1.8050, -0.9646,  5.630, 1.503, 3.7788, -1.415, 1.1016, 1.384,  2.316,-0.087, 1.1268, -1.637,-0.036,-0.112, 3.0075,  0.696, 2.040, 1.719,-0.651, 1.322,-1.2557, 0.211, 3.4428, 1.423, 4.2420, 2.501,-1.7604,-0.862, 7.481, 0.549, 1.588, 5.799, 5.690,  7.646, 6.17990, -1.856,-1.568, 3.714, -0.042,-1.309,0, 0.609,-1.1826, -3.25,-1.4444,-1.8228, 1.000, -9.9310, -5.9176, -5.794, -4.468, 0.210
 2.5766, -1.162, 1.045, 5.598, -0.063, -0.1845, 1.6328, 4.566, -9.831,-8.297,11.8199, 2.7950, 0.779, 3.8403, 4.044,  7.209, 0.426, 1.5374, 0.224,-1.454,-0.3060,  2.363, 2.278, 5.5402,10.909, 0.33266, 0.840, 5.4036, 3.5642,  5.833,  4.434, -0.632,-1.063,  8.348, 5.213, 3.206, 4.394, 6.1680, 1.557, 1.193, -3.544,-2.152,-2.950,  9.36, 4.4599,  1.9572,  8.495, 1.453, 4.0566,  3.681, 1.7958, 0.100, -1.751, 1.857, 1.5424, -2.746,-2.222,-3.779, 2.1898,  0.594, 1.934, 1.474,-0.824, 1.237,-1.3262, 0.071, 2.8026,-1.213, 2.4889, 2.598,-2.4253, 1.499, 8.053, 0.042, 1.720, 6.818, 6.115,  7.841, 6.59592,  1.341,-2.692, 5.549,  4.314, 0.319,0, 1.159,-0.9300, -0.88,-3.3213,-2.2972, 0.403,-11.4379, -5.7260, -8.079,  0.084, 1.091
 2.5535, -1.180,-0.088, 1.300, -0.026, -0.5031,-0.0078, 1.571, -4.988,-4.481, 3.1377, 0.1441,-1.444, 2.0977, 1.964,  2.753,-0.934,-0.2255,-0.983,-1.508,-1.2397,  1.843, 0.303, 6.7838, 9.383,-0.98722, 1.734, 5.2551, 2.7027,  3.365,  2.210,  2.367, 0.145,  3.103, 2.208, 3.175, 0.021, 1.5238,-0.485, 1.052, -4.752,-1.903,-0.636,  6.87, 4.2965,  2.8454,  8.011, 1.783, 2.8386,  3.306, 0.3432, 0.515, -0.776, 0.919, 0.8212, -1.560,-0.278,-3.207,-0.3519,  0.587, 2.291, 0.505,-0.826,-0.297,-0.2101, 1.568, 0.4433,-2.479, 0.3708, 2.432,-1.1883, 5.233, 5.671,-1.095, 2.511, 5.258, 1.165,  3.873, 2.88508,  5.134,-0.680, 2.462,  4.227, 0.991,0,-0.333,-1.5014, -1.71,-2.9382, 0.3763, 0.486, -3.2345, -0.5765, -2.846,  4.758, 1.155
 1.8371, -1.829,-1.270,-2.441,  0.534, -1.1472,-1.3154,-0.352, -0.087,-1.966,-2.3277,-1.8539,-3.350, 0.4425,-0.094, -1.466,-1.982,-2.4665,-2.333,-1.799,-1.0944,  1.080,-0.869, 6.1034, 6.105,-1.78795, 1.731, 3.8939, 1.7558,  1.882,  0.762,  3.786, 1.461, -0.470, 0.304, 2.463,-2.560,-2.0359,-1.437,-0.114, -3.910,-0.698, 1.839,  2.52, 3.0794,  2.4442,  6.547, 2.940, 1.6823,  1.737,-0.7417, 0.619,  0.308,-1.318,-0.3939,  0.331, 0.795,-2.057,-0.3619,  1.336, 1.839, 0.169,-0.630,-1.257, 0.0294, 0.904,-2.9931,-3.174,-0.4792, 2.001, 0.2920, 6.631, 3.208,-2.470, 2.830, 3.031,-2.823,  0.401,-0.18275,  6.284, 1.314, 0.154,  2.928, 1.089,0,-1.201,-1.2998, -2.10,-1.0490, 2.6624, 0.096,  2.0705,  3.0542,  0.645,  7.058, 2.178
 1.2881, -4.803,-0.588,-1.891,  0.420, -2.3148,-0.9379, 1.085,  1.712,-1.449,-0.0083,-0.2200,-4.625,-0.5241,-1.828, -2.967,-1.230,-3.1952,-3.372,-1.128, 0.0178,  1.663,-1.297, 3.5924, 3.971,-2.51196,-0.172, 1.1065,-0.2223,  2.302,  1.208,  2.328, 0.016,  2.473, 3.219, 1.792, 0.665,-0.6103, 0.254,-0.783, -3.463, 0.974, 1.165,  4.34, 4.3497,  4.3185,  4.573, 4.249, 1.3828,  3.944, 0.0234, 0.761, -6.037,-3.265,-0.3369,  2.340, 0.032,-2.191, 5.9138,  3.813, 1.778, 1.779, 0.715, 0.781,-0.1271,-3.384,-5.1470,-4.703, 0.0037, 0.864, 2.2112, 3.682, 2.469,-2.127, 2.442, 2.122,-1.973,  0.116,-0.11128,  2.631,-0.064, 1.705,  4.374, 1.722,0, 1.411, 1.5139, -0.14,-2.1547, 1.0687,-2.415, -1.3730,  3.9589, -0.854,  5.344, 5.143
 1.2960, -6.179, 0.510,-0.053, -0.324, -2.7760,-0.1431, 1.806,  2.405,-1.017, 2.7888, 1.7922,-4.806,-1.5322,-1.763, -2.620, 0.032,-2.4925,-3.119,-0.270, 0.5366,  2.855,-1.272, 1.0832, 3.383,-2.70528,-0.907, 0.1509,-0.9984,  1.927,  1.230,  0.830,-1.524,  5.080, 5.396, 1.185, 4.065, 1.2897, 1.868,-0.252, -3.558, 1.034,-0.853,  6.02, 5.4913,  4.9622,  2.490, 4.178, 1.5825,  5.221, 1.1391, 1.283,-10.725,-3.311, 0.0601,  2.908,-1.553,-2.760, 8.5934,  4.276, 1.455, 3.004, 1.674, 2.077, 0.0132,-5.661,-5.0981,-5.799,-0.0084, 0.538, 2.9604, 0.323, 2.621,-1.915, 2.071, 1.925,-0.255,  0.540, 0.20413, -0.648,-1.806, 3.078,  4.708, 1.830,0, 3.391, 3.4834,  1.88,-4.4014,-1.3790,-4.897, -4.6738,  2.8247, -2.589,  2.804, 6.132
 0.7011, -3.946, 0.221, 1.436, -1.438, -1.9294,-0.2463, 0.403,  1.539,-2.310, 4.3554, 1.6418,-3.268,-1.8123, 0.510, -0.228, 0.245,-1.1562,-1.849,-0.657,-0.1788,  2.511,-0.962, 0.2214, 1.617,-2.27937, 0.968, 0.9373, 0.4703,  0.404,  0.540, -0.074,-1.370,  2.890, 4.403,-0.134, 3.055, 2.0164, 1.220,-0.123, -3.070,-0.883,-1.337,  2.82, 2.9596,  0.0779,  1.311, 1.049, 1.3294,  2.299, 1.1128, 1.045, -5.392,-2.108,-0.8572,  0.277,-2.394,-3.745, 2.1025,  0.844,-1.321, 2.700, 0.263, 0.160,-0.5538,-3.738,-3.8040,-4.310,-1.0236, 0.708, 0.0012,-0.535, 1.120,-4.139, 1.425, 1.608, 0.740,  0.418,-0.49039, -0.809,-1.650, 2.267,  1.082,-0.734,0, 2.487, 1.9570,  2.52,-3.7336,-1.7408,-4.959, -3.1199, -0.6394, -3.560,  0.843, 1.524
-0.6758, -2.801,-0.814, 0.921, -3.181, -1.9167,-1.1542,-1.044, -1.939,-2.980, 3.1993,-0.9308,-1.451,-1.1398, 1.799,  1.409,-0.965,-0.8671,-1.096,-1.352,-0.8854,  0.907,-1.088, 0.0078,-0.920,-2.89369, 1.997,-0.2552, 0.6177, -0.824,  0.058, -1.599,-2.143, -0.608, 1.700,-1.348, 0.631, 2.2023,-0.083,-0.927, -2.942,-1.922,-0.536,  0.54, 0.4101, -4.2912, -0.196,-2.449,-0.2208,  1.436,-0.1460, 0.143, -1.099,-1.531,-2.0683, -3.147, 0.584,-4.356,-4.0192, -2.234,-5.121, 2.113,-1.393,-1.318,-1.5602,-2.411,-2.5381,-1.771,-2.4976,-0.542,-3.8193,-0.985,-1.235,-5.603, 0.466,-0.041, 0.883,  0.191,-0.56846, -0.614,-2.015, 0.687, -3.029,-3.573,0, 1.545,-0.3971,  1.48,-2.8464,-1.9116,-4.488, -1.5706, -2.2758, -3.512, -1.387,-3.528
-1.7704, -3.854,-1.138,-1.843, -5.228, -3.5547,-2.0134,-2.460, -7.857,-0.378,-3.0741,-5.6241,-0.453,-0.3931, 1.210,  0.510,-2.803,-1.7302,-0.996,-0.841,-0.3285, -0.967,-2.148,-1.8294,-1.892,-5.12423, 0.521,-3.8450,-2.1137, -1.977, -0.832, -4.952,-5.116, -2.857,-2.684,-1.404,-0.026, 0.8596,-0.994,-1.804, -3.909,-0.687,-0.054,  0.53, 1.6579, -3.4058, -4.023,-3.946,-2.6664,  5.422,-1.6705, 0.576, -5.420,-0.778,-1.7087, -5.997, 6.034,-3.864,-4.9392, -3.413,-7.694, 0.884,-1.616,-0.692,-1.7337,-3.557,-0.5803, 0.033,-4.5466,-3.535,-5.9309,-4.144,-1.031,-2.921,-0.070,-3.390, 0.013, -0.139, 0.18038, -2.712,-4.721,-0.984, -5.713,-3.961,0, 0.942,-2.0505, -1.69,-4.0453,-3.9381,-4.978, -2.9228, -0.0055, -1.516, -4.571,-4.995
